2026-04-28 20:03:20,448 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:03:22,701 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:04:26,195 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:04:26,783 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:05:29,300 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:05:29,897 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:06:32,323 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:06:32,939 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:07:34,903 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:07:35,718 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:08:39,177 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:08:41,280 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:09:44,700 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:09:46,026 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:10:47,980 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:10:48,794 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:11:51,006 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:11:51,593 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:12:53,560 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:12:54,152 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:13:57,981 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:14:00,078 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:15:03,744 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:15:04,351 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:16:06,348 | WARNING | ANOMALIE | ETH/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
2026-04-28 20:16:07,185 | WARNING | ANOMALIE | SOL/USDT | AnomalyType.SQUEEZE | Bollinger squeeze — grote move op komst, wacht op bevestiging
